round;wD;wB;wM;wS;wP
348;0.1145;0.35;0.2355;0.15;0.15
349;0.1145;0.35;0.2355;0.15;0.15
350;0.1155;0.35;0.2345;0.15;0.15
351;0.1155;0.35;0.2345;0.15;0.15
352;0.115;0.35;0.235;0.15;0.15
353;0.115;0.35;0.235;0.15;0.15
354;0.116;0.35;0.234;0.15;0.15
355;0.115;0.35;0.235;0.15;0.15
356;0.115;0.35;0.235;0.15;0.15
357;0.116;0.35;0.234;0.15;0.15
358;0.116;0.35;0.234;0.15;0.15
359;0.116;0.35;0.234;0.15;0.15
360;0.117;0.35;0.233;0.15;0.15
361;0.116;0.35;0.234;0.15;0.15
362;0.116;0.35;0.234;0.15;0.15
363;0.117;0.35;0.233;0.15;0.15
364;0.117;0.35;0.233;0.15;0.15
365;0.116;0.35;0.234;0.15;0.15
366;0.115;0.35;0.235;0.15;0.15
367;0.115;0.35;0.235;0.15;0.15
368;0.1145;0.35;0.2355;0.15;0.15
369;0.114;0.35;0.236;0.15;0.15
370;0.114;0.35;0.236;0.15;0.15
371;0.1145;0.35;0.2355;0.15;0.15
372;0.113;0.35;0.237;0.15;0.15
373;0.1135;0.35;0.2365;0.15;0.15
374;0.114;0.35;0.236;0.15;0.15
375;0.114;0.35;0.236;0.15;0.15
376;0.1145;0.35;0.2355;0.15;0.15
377;0.113;0.35;0.237;0.15;0.15
378;0.113;0.35;0.237;0.15;0.15
379;0.1125;0.35;0.2375;0.15;0.15
380;0.1125;0.35;0.2375;0.15;0.15
381;0.1145;0.35;0.2355;0.15;0.15
382;0.1145;0.35;0.2355;0.15;0.15
383;0.1145;0.35;0.2355;0.15;0.15
384;0.1145;0.35;0.2355;0.15;0.15
385;0.116;0.35;0.234;0.15;0.15
386;0.116;0.35;0.234;0.15;0.15
387;0.1165;0.35;0.2335;0.15;0.15
388;0.1165;0.35;0.2335;0.15;0.15
389;0.1165;0.35;0.2335;0.15;0.15
390;0.1165;0.35;0.2335;0.15;0.15
391;0.116;0.35;0.234;0.15;0.15
392;0.1155;0.35;0.2345;0.15;0.15
393;0.115;0.35;0.235;0.15;0.15
394;0.1145;0.35;0.2355;0.15;0.15
395;0.1145;0.35;0.2355;0.15;0.15
396;0.114;0.35;0.236;0.15;0.15
397;0.1145;0.35;0.2355;0.15;0.15
398;0.1145;0.35;0.2355;0.15;0.15
399;0.114;0.35;0.236;0.15;0.15
400;0.114;0.35;0.236;0.15;0.15
401;0.1145;0.35;0.2355;0.15;0.15
402;0.1145;0.35;0.2355;0.15;0.15
403;0.115;0.35;0.235;0.15;0.15
404;0.1145;0.35;0.2355;0.15;0.15
405;0.1155;0.35;0.2345;0.15;0.15
406;0.116;0.35;0.234;0.15;0.15
407;0.116;0.35;0.234;0.15;0.15
408;0.115;0.35;0.235;0.15;0.15
409;0.1155;0.35;0.2345;0.15;0.15
410;0.1155;0.35;0.2345;0.15;0.15
411;0.117;0.35;0.233;0.15;0.15
412;0.117;0.35;0.233;0.15;0.15
413;0.117;0.35;0.233;0.15;0.15
414;0.1165;0.35;0.2335;0.15;0.15
415;0.116;0.35;0.234;0.15;0.15
416;0.116;0.35;0.234;0.15;0.15
417;0.1165;0.35;0.2335;0.15;0.15
418;0.1175;0.35;0.2325;0.15;0.15
419;0.119;0.35;0.231;0.15;0.15
420;0.1175;0.35;0.2325;0.15;0.15
421;0.1185;0.35;0.2315;0.15;0.15
422;0.1175;0.35;0.2325;0.15;0.15
423;0.1175;0.35;0.2325;0.15;0.15
424;0.1175;0.35;0.2325;0.15;0.15
425;0.117;0.35;0.233;0.15;0.15
426;0.1165;0.35;0.2335;0.15;0.15
427;0.1165;0.35;0.2335;0.15;0.15
428;0.117;0.35;0.233;0.15;0.15
429;0.117;0.35;0.233;0.15;0.15
430;0.1175;0.35;0.2325;0.15;0.15
431;0.118;0.35;0.232;0.15;0.15
432;0.1175;0.35;0.2325;0.15;0.15
433;0.117;0.35;0.233;0.15;0.15
434;0.1175;0.35;0.2325;0.15;0.15
435;0.117;0.35;0.233;0.15;0.15
436;0.1165;0.35;0.2335;0.15;0.15
437;0.116;0.35;0.234;0.15;0.15
438;0.1165;0.35;0.2335;0.15;0.15
439;0.116;0.35;0.234;0.15;0.15
440;0.1165;0.35;0.2335;0.15;0.15
441;0.116;0.35;0.234;0.15;0.15
442;0.1165;0.35;0.2335;0.15;0.15
443;0.1155;0.35;0.2345;0.15;0.15
444;0.1165;0.35;0.2335;0.15;0.15
445;0.116;0.35;0.234;0.15;0.15
446;0.1155;0.35;0.2345;0.15;0.15
447;0.116;0.35;0.234;0.15;0.15
448;0.116;0.35;0.234;0.15;0.15
449;0.1165;0.35;0.2335;0.15;0.15
450;0.116;0.35;0.234;0.15;0.15
451;0.116;0.35;0.234;0.15;0.15
452;0.1165;0.35;0.2335;0.15;0.15
453;0.117;0.35;0.233;0.15;0.15
454;0.1175;0.35;0.2325;0.15;0.15
455;0.1175;0.35;0.2325;0.15;0.15
456;0.117;0.35;0.233;0.15;0.15
