X;Y
419;0.0
420;3.826411889451542E-6
421;0.0
422;2.7787772083343043E-12
423;3.0772873138573686E-10
424;2.1409496397950534E-10
425;0.0
426;1.8579183747036154E-9
427;7.008823788012819E-8
428;5.6066262743570405E-14
429;1.0673029571250936E-8
430;5.773159728050814E-15
431;1.1102230246251565E-16
432;0.0
433;0.0
434;0.0
435;0.0
436;0.0
437;6.827871601444713E-14
438;0.0
439;6.820507425508993E-8
440;3.4416913763379853E-15
441;1.1904157624087475E-6
442;5.773449873847092E-6
443;4.71034273175075E-6
444;0.0
445;0.0
446;6.078168302003917E-9
447;3.871125642262996E-12
448;6.081335435226265E-11
449;0.0
450;0.0
451;6.640310670213978E-7
452;1.8491306030821164E-7
453;4.282050503068291E-8
454;1.1103735686468497E-7
455;0.0
456;2.4835703670289533E-6
457;7.441157209187033E-6
458;4.0462266870378016E-10
459;4.636424203896539E-6
460;0.0
461;1.5747381176822728E-9
462;2.3127206816297985E-9
463;0.0
464;1.215160202461263E-7
465;8.735493303158037E-7
466;6.435283417260962E-9
467;0.0
468;4.936819042566931E-6
469;5.347175369152524E-9
470;1.0142422124381767E-8
471;2.8708146970757298E-12
472;0.0
473;3.3306690738754696E-16
474;0.0
475;3.2833220253714046E-8
476;0.0
477;8.866503087290312E-10
478;0.0
479;1.583591451304045E-6
480;0.0
481;1.2212453270876722E-15
482;0.0
483;2.682707285206476E-7
484;6.9471378649765825E-9
485;4.7812446557493615E-8
486;1.1544086542247811E-7
487;2.466230013542514E-7
488;4.610725468090493E-9
489;7.589113938832881E-6
490;0.0
491;3.8097860310948306E-8
492;1.115967040998811E-7
493;0.0
494;5.699487004573456E-8
495;2.458763083135196E-6
496;1.3883977552087146E-6
497;0.0
498;1.078026556911027E-13
499;1.967857158668984E-6
500;1.1102230246251565E-16
501;7.267402235555664E-10
502;0.0
503;2.735051098934349E-7
504;1.0180013387817155E-8
505;5.141511483230943E-8
506;3.5977888446225847E-9
507;6.001197305760542E-8
508;0.0
509;0.0
510;1.9526602557107253E-12
511;9.748799545405973E-10
512;0.0
513;0.0
514;0.0
515;0.0
516;3.0315749910414524E-12
517;3.515622237770799E-10
518;0.0
519;8.083520630641772E-9
520;0.0
521;2.685733262008938E-6
522;1.6316726858534025E-9
523;0.0
524;1.7706293875541235E-8
525;1.531045913938378E-6
526;0.0
527;0.0
528;1.0818864204509282E-7
529;3.820155303202455E-11
530;1.0787882117613279E-6
531;4.638052164551709E-10
532;9.704337522453699E-7
533;1.152191126396751E-6
534;2.9028363838223825E-6
535;0.0
536;1.6906352092727062E-6
537;0.0
538;0.0
539;3.283043747970282E-8
540;1.4496742692937659E-6
541;4.199943726135302E-9
542;1.3768867490604464E-8
543;1.2401524251970386E-11
544;2.293434764100155E-6
